enquiry_id,true_topic,true_language,true_is_health,true_order_quoted
ENQ-0000,Subscription,en,False,False
ENQ-0001,Order status,en,False,True
ENQ-0002,Order status,ms,False,False
ENQ-0003,Sizing,ms,False,False
ENQ-0004,Sizing,id,False,False
ENQ-0005,Where to buy,en,False,False
ENQ-0006,Order status,en,False,False
ENQ-0007,Refund/return,en,False,True
ENQ-0008,Sizing,id,False,False
ENQ-0009,Sizing,en,False,False
ENQ-0010,Sizing,en,False,False
ENQ-0011,Damaged item,id,False,False
ENQ-0012,Where to buy,ms,False,False
ENQ-0013,Where to buy,id,False,False
ENQ-0014,Delivery delay,ms,False,True
ENQ-0015,Product usage,id,False,False
ENQ-0016,Order status,sg,False,True
ENQ-0017,Sizing,id,False,False
ENQ-0018,Delivery delay,en,False,True
ENQ-0019,Where to buy,zh,False,False
ENQ-0020,Refund/return,ms,False,True
ENQ-0021,Health complaint,id,True,False
ENQ-0022,Unclear,id,False,False
ENQ-0023,Damaged item,id,False,False
ENQ-0024,Where to buy,sg,False,False
ENQ-0025,Product usage,en,False,False
ENQ-0026,Where to buy,ms,False,False
ENQ-0027,Product usage,id,False,False
ENQ-0028,Sizing,id,False,False
ENQ-0029,Sizing,sg,False,False
ENQ-0030,Damaged item,en,False,False
ENQ-0031,Refund/return,en,False,True
ENQ-0032,Sizing,sg,False,False
ENQ-0033,Sizing,en,False,False
ENQ-0034,Damaged item,en,False,False
ENQ-0035,Order status,en,False,True
ENQ-0036,Refund/return,id,False,False
ENQ-0037,Where to buy,id,False,False
ENQ-0038,Order status,en,False,False
ENQ-0039,Damaged item,ms,False,False
ENQ-0040,Subscription,en,False,False
ENQ-0041,Delivery delay,en,False,True
ENQ-0042,Order status,en,False,True
ENQ-0043,Refund/return,id,False,False
ENQ-0044,Unclear,ms,False,False
ENQ-0045,Order status,ms,False,False
ENQ-0046,Damaged item,ms,False,False
ENQ-0047,Product usage,ms,False,False
ENQ-0048,Damaged item,id,False,True
ENQ-0049,Delivery delay,sg,False,False
ENQ-0050,Delivery delay,sg,False,False
ENQ-0051,Sizing,en,False,False
ENQ-0052,Refund/return,en,False,True
ENQ-0053,Sizing,sg,False,False
ENQ-0054,Delivery delay,id,False,False
ENQ-0055,Delivery delay,en,False,False
ENQ-0056,Where to buy,en,False,False
ENQ-0057,Refund/return,sg,False,False
ENQ-0058,Product usage,zh,False,False
ENQ-0059,Delivery delay,zh,False,True
ENQ-0060,Unclear,en,False,False
ENQ-0061,Refund/return,ms,False,False
ENQ-0062,Damaged item,id,False,False
ENQ-0063,Damaged item,sg,False,True
ENQ-0064,Refund/return,id,False,True
ENQ-0065,Order status,zh,False,True
ENQ-0066,Product usage,en,False,False
ENQ-0067,Order status,en,False,True
ENQ-0068,Subscription,en,False,False
ENQ-0069,Subscription,en,False,False
ENQ-0070,Order status,id,False,False
ENQ-0071,Where to buy,id,False,False
ENQ-0072,Unclear,en,False,False
ENQ-0073,Damaged item,ms,False,True
ENQ-0074,Refund/return,id,False,True
ENQ-0075,Product usage,zh,False,False
ENQ-0076,Sizing,en,False,False
ENQ-0077,Delivery delay,id,False,False
ENQ-0078,Delivery delay,sg,False,True
ENQ-0079,Refund/return,en,False,False
ENQ-0080,Subscription,id,False,False
ENQ-0081,Sizing,en,False,False
ENQ-0082,Sizing,en,False,False
ENQ-0083,Subscription,id,False,False
ENQ-0084,Order status,sg,False,False
ENQ-0085,Ingredients,en,False,False
ENQ-0086,Sizing,ms,False,False
ENQ-0087,Health complaint,id,True,False
ENQ-0088,Product usage,ms,False,False
ENQ-0089,Order status,en,False,False
ENQ-0090,Delivery delay,zh,False,False
ENQ-0091,Product usage,en,False,False
ENQ-0092,Product usage,id,False,False
ENQ-0093,Delivery delay,id,False,False
ENQ-0094,Sizing,en,False,False
ENQ-0095,Sizing,id,False,False
ENQ-0096,Refund/return,en,False,False
ENQ-0097,Product usage,ms,False,False
ENQ-0098,Unclear,en,False,False
ENQ-0099,Order status,id,False,False
ENQ-0100,Product usage,en,False,False
ENQ-0101,Where to buy,en,False,False
ENQ-0102,Refund/return,en,False,True
ENQ-0103,Where to buy,id,False,False
ENQ-0104,Sizing,en,False,False
ENQ-0105,Refund/return,ms,False,True
ENQ-0106,Refund/return,en,False,False
ENQ-0107,Health complaint,id,True,False
ENQ-0108,Sizing,ms,False,False
ENQ-0109,Damaged item,id,False,True
ENQ-0110,Product usage,sg,False,False
ENQ-0111,Refund/return,en,False,False
ENQ-0112,Order status,en,False,True
ENQ-0113,Refund/return,zh,False,True
ENQ-0114,Sizing,en,False,False
ENQ-0115,Damaged item,en,False,False
ENQ-0116,Where to buy,id,False,False
ENQ-0117,Refund/return,zh,False,False
ENQ-0118,Where to buy,zh,False,False
ENQ-0119,Delivery delay,ms,False,True
ENQ-0120,Delivery delay,en,False,True
ENQ-0121,Order status,en,False,True
ENQ-0122,Delivery delay,en,False,False
ENQ-0123,Where to buy,en,False,False
ENQ-0124,Sizing,ms,False,False
ENQ-0125,Order status,id,False,False
ENQ-0126,Subscription,en,False,False
ENQ-0127,Order status,id,False,False
ENQ-0128,Unclear,id,False,False
ENQ-0129,Where to buy,id,False,False
ENQ-0130,Order status,en,False,True
ENQ-0131,Sizing,id,False,False
ENQ-0132,Sizing,id,False,False
ENQ-0133,Refund/return,en,False,True
ENQ-0134,Health complaint,en,True,False
ENQ-0135,Ingredients,en,False,False
ENQ-0136,Refund/return,id,False,False
ENQ-0137,Order status,en,False,False
ENQ-0138,Where to buy,id,False,False
ENQ-0139,Delivery delay,id,False,False
ENQ-0140,Damaged item,id,False,False
ENQ-0141,Ingredients,id,False,False
ENQ-0142,Health complaint,sg,True,False
ENQ-0143,Subscription,en,False,False
ENQ-0144,Order status,id,False,False
ENQ-0145,Unclear,sg,False,False
ENQ-0146,Delivery delay,en,False,False
ENQ-0147,Sizing,id,False,False
ENQ-0148,Where to buy,id,False,False
ENQ-0149,Refund/return,zh,False,False
ENQ-0150,Unclear,sg,False,False
ENQ-0151,Damaged item,ms,False,True
ENQ-0152,Subscription,ms,False,False
ENQ-0153,Refund/return,en,False,True
ENQ-0154,Refund/return,ms,False,False
ENQ-0155,Ingredients,sg,False,False
ENQ-0156,Sizing,id,False,False
ENQ-0157,Sizing,id,False,False
ENQ-0158,Product usage,en,False,False
ENQ-0159,Order status,ms,False,True
ENQ-0160,Ingredients,id,False,False
ENQ-0161,Unclear,id,False,False
ENQ-0162,Sizing,ms,False,False
ENQ-0163,Order status,ms,False,True
ENQ-0164,Order status,id,False,False
ENQ-0165,Refund/return,ms,False,False
ENQ-0166,Sizing,id,False,False
ENQ-0167,Product usage,id,False,False
ENQ-0168,Order status,id,False,True
ENQ-0169,Product usage,ms,False,False
ENQ-0170,Subscription,id,False,False
ENQ-0171,Subscription,id,False,False
ENQ-0172,Product usage,ms,False,False
ENQ-0173,Subscription,sg,False,False
ENQ-0174,Subscription,en,False,False
ENQ-0175,Ingredients,ms,False,False
ENQ-0176,Order status,ms,False,True
ENQ-0177,Where to buy,ms,False,False
ENQ-0178,Damaged item,en,False,False
ENQ-0179,Health complaint,en,True,False
ENQ-0180,Damaged item,en,False,False
ENQ-0181,Damaged item,en,False,False
ENQ-0182,Order status,sg,False,False
ENQ-0183,Subscription,en,False,False
ENQ-0184,Damaged item,en,False,True
ENQ-0185,Delivery delay,id,False,False
ENQ-0186,Delivery delay,ms,False,True
ENQ-0187,Refund/return,id,False,False
ENQ-0188,Delivery delay,zh,False,False
ENQ-0189,Refund/return,id,False,True
ENQ-0190,Subscription,en,False,False
ENQ-0191,Subscription,id,False,False
ENQ-0192,Subscription,id,False,False
ENQ-0193,Sizing,en,False,False
ENQ-0194,Where to buy,sg,False,False
ENQ-0195,Order status,en,False,False
ENQ-0196,Order status,en,False,False
ENQ-0197,Health complaint,sg,True,False
ENQ-0198,Delivery delay,id,False,False
ENQ-0199,Ingredients,zh,False,False
ENQ-0200,Subscription,id,False,False
ENQ-0201,Where to buy,sg,False,False
ENQ-0202,Refund/return,id,False,False
ENQ-0203,Sizing,ms,False,False
ENQ-0204,Product usage,sg,False,False
ENQ-0205,Delivery delay,en,False,False
ENQ-0206,Order status,zh,False,False
ENQ-0207,Sizing,en,False,False
ENQ-0208,Where to buy,ms,False,False
ENQ-0209,Order status,en,False,False
ENQ-0210,Damaged item,sg,False,False
ENQ-0211,Sizing,en,False,False
ENQ-0212,Product usage,ms,False,False
ENQ-0213,Where to buy,en,False,False
ENQ-0214,Damaged item,ms,False,False
ENQ-0215,Refund/return,sg,False,False
ENQ-0216,Order status,en,False,False
ENQ-0217,Where to buy,id,False,False
ENQ-0218,Order status,ms,False,False
ENQ-0219,Order status,en,False,False
ENQ-0220,Order status,en,False,True
ENQ-0221,Ingredients,id,False,False
ENQ-0222,Product usage,en,False,False
ENQ-0223,Unclear,sg,False,False
ENQ-0224,Refund/return,zh,False,False
ENQ-0225,Delivery delay,en,False,False
ENQ-0226,Where to buy,id,False,False
ENQ-0227,Unclear,id,False,False
ENQ-0228,Sizing,en,False,False
ENQ-0229,Order status,id,False,False
ENQ-0230,Ingredients,en,False,False
ENQ-0231,Sizing,ms,False,False
ENQ-0232,Unclear,id,False,False
ENQ-0233,Order status,en,False,False
ENQ-0234,Product usage,sg,False,False
ENQ-0235,Delivery delay,id,False,False
ENQ-0236,Subscription,en,False,False
ENQ-0237,Sizing,ms,False,False
ENQ-0238,Product usage,ms,False,False
ENQ-0239,Where to buy,zh,False,False
ENQ-0240,Delivery delay,id,False,False
ENQ-0241,Unclear,ms,False,False
ENQ-0242,Where to buy,en,False,False
ENQ-0243,Product usage,en,False,False
ENQ-0244,Order status,id,False,False
ENQ-0245,Order status,id,False,False
ENQ-0246,Refund/return,sg,False,True
ENQ-0247,Health complaint,en,True,False
ENQ-0248,Product usage,id,False,False
ENQ-0249,Delivery delay,en,False,False
ENQ-0250,Delivery delay,en,False,False
ENQ-0251,Order status,id,False,False
ENQ-0252,Product usage,en,False,False
ENQ-0253,Subscription,en,False,False
ENQ-0254,Where to buy,ms,False,False
ENQ-0255,Sizing,id,False,False
ENQ-0256,Unclear,id,False,False
ENQ-0257,Refund/return,id,False,False
ENQ-0258,Order status,en,False,False
ENQ-0259,Refund/return,id,False,False
ENQ-0260,Order status,id,False,False
ENQ-0261,Refund/return,en,False,False
ENQ-0262,Damaged item,id,False,False
ENQ-0263,Sizing,sg,False,False
ENQ-0264,Product usage,en,False,False
ENQ-0265,Damaged item,id,False,False
ENQ-0266,Delivery delay,id,False,False
ENQ-0267,Delivery delay,en,False,False
ENQ-0268,Refund/return,id,False,True
ENQ-0269,Damaged item,id,False,True
ENQ-0270,Where to buy,sg,False,False
ENQ-0271,Order status,id,False,True
ENQ-0272,Sizing,id,False,False
