order_id,customer_id,order_date,sku,units,amount_sgd,status,delivered_at
ORD-00000,CUS-0000,2026-03-20,SKU-PAD-NGT-10,1,29.8,Delivered,2026-03-22
ORD-00001,CUS-0001,2026-07-17,SKU-WIP-80,3,23.7,Preparing,
ORD-00002,CUS-0002,2026-03-01,SKU-DIA-M-38,1,92.7,Delivered,2026-03-06
ORD-00003,CUS-0002,2026-03-06,SKU-DIA-M-38,3,92.7,Preparing,
ORD-00004,CUS-0002,2026-05-10,SKU-PNT-LGT-14,1,29.7,Delivered,2026-05-16
ORD-00005,CUS-0003,2026-02-11,SKU-DIA-NB-40,2,86.7,Delivered,2026-02-16
ORD-00006,CUS-0004,2026-03-21,SKU-DIA-M-38,1,30.9,Delivered,2026-03-27
ORD-00007,CUS-0004,2026-03-06,SKU-PAD-NGT-10,3,29.8,Delivered,2026-03-14
ORD-00008,CUS-0004,2026-06-28,SKU-PAD-NGT-10,2,29.8,Delivered,2026-06-30
ORD-00009,CUS-0004,2026-04-28,SKU-PNT-LGT-14,2,9.9,Delivered,2026-05-06
ORD-00010,CUS-0005,2026-06-03,SKU-PAD-DAY-10,2,25.8,Delayed,
ORD-00011,CUS-0005,2025-12-29,SKU-WIP-80,3,7.9,Delivered,2026-01-04
ORD-00012,CUS-0005,2026-07-31,SKU-WIP-80,3,23.7,In transit,
ORD-00013,CUS-0005,2026-03-08,SKU-PNT-LGT-14,3,9.9,Delivered,2026-03-15
ORD-00014,CUS-0005,2026-03-08,SKU-PAD-DAY-10,1,12.9,Delivered,2026-03-10
ORD-00015,CUS-0006,2026-02-11,SKU-PNT-LGT-14,3,29.7,Delivered,2026-02-13
ORD-00016,CUS-0006,2026-01-21,SKU-PNT-LGT-14,3,19.8,Delivered,2026-01-25
ORD-00017,CUS-0006,2026-07-17,SKU-DIA-NB-40,3,86.7,Delayed,
ORD-00018,CUS-0007,2026-01-25,SKU-PNT-LGT-14,2,9.9,Delivered,2026-01-27
ORD-00019,CUS-0007,2026-07-03,SKU-PNT-LGT-14,2,19.8,Preparing,
ORD-00020,CUS-0007,2026-04-06,SKU-PAD-DAY-10,1,12.9,Delivered,2026-04-14
ORD-00021,CUS-0008,2026-07-06,SKU-DIA-M-38,3,61.8,Delivered,2026-07-10
ORD-00022,CUS-0008,2026-06-27,SKU-PAD-NGT-10,1,44.7,Delayed,
ORD-00023,CUS-0008,2026-04-05,SKU-WIP-80,2,7.9,Delivered,2026-04-07
ORD-00024,CUS-0008,2026-02-04,SKU-PAD-DAY-10,3,12.9,Delivered,2026-02-09
ORD-00025,CUS-0008,2026-01-20,SKU-DIA-M-38,3,30.9,In transit,
ORD-00026,CUS-0009,2026-05-15,SKU-PNT-LGT-14,2,9.9,In transit,
ORD-00027,CUS-0009,2026-02-11,SKU-PNT-LGT-14,3,29.7,Delivered,2026-02-16
ORD-00028,CUS-0010,2026-07-23,SKU-DIA-M-38,1,92.7,Delivered,2026-07-29
ORD-00029,CUS-0010,2026-04-12,SKU-PNT-LGT-14,3,29.7,Delivered,2026-04-15
ORD-00030,CUS-0011,2026-04-10,SKU-WIP-80,3,23.7,Delivered,2026-04-16
ORD-00031,CUS-0011,2026-04-07,SKU-WIP-80,2,23.7,Delivered,2026-04-11
ORD-00032,CUS-0012,2026-08-06,SKU-WIP-80,2,23.7,In transit,
ORD-00033,CUS-0012,2026-04-10,SKU-DIA-NB-40,2,86.7,In transit,
ORD-00034,CUS-0012,2026-07-03,SKU-WIP-80,2,15.8,Delivered,2026-07-06
ORD-00035,CUS-0012,2026-03-29,SKU-PNT-LGT-14,1,9.9,In transit,
ORD-00036,CUS-0013,2026-05-28,SKU-PAD-DAY-10,1,25.8,Preparing,
ORD-00037,CUS-0013,2026-04-28,SKU-WIP-80,2,15.8,Delayed,
ORD-00038,CUS-0013,2026-03-11,SKU-PAD-DAY-10,3,25.8,Preparing,
ORD-00039,CUS-0014,2026-05-08,SKU-DIA-NB-40,1,86.7,Delivered,2026-05-11
ORD-00040,CUS-0015,2026-03-23,SKU-DIA-M-38,2,92.7,Delivered,2026-03-25
ORD-00041,CUS-0015,2026-02-19,SKU-PAD-DAY-10,2,38.7,Delivered,2026-02-26
ORD-00042,CUS-0016,2026-06-06,SKU-PNT-LGT-14,3,9.9,Delivered,2026-06-08
ORD-00043,CUS-0016,2026-01-25,SKU-PNT-LGT-14,1,19.8,Delivered,2026-01-30
ORD-00044,CUS-0016,2026-04-25,SKU-DIA-M-38,1,92.7,Delivered,2026-05-03
ORD-00045,CUS-0016,2026-08-04,SKU-PAD-NGT-10,1,29.8,Delayed,
ORD-00046,CUS-0017,2026-03-30,SKU-DIA-NB-40,3,57.8,In transit,
