enquiry_id,first_response_minutes,handling_minutes,resolution,csat,reopened,needed_translation_help
ENQ-0061,829,43,Escalated,,False,True
ENQ-0087,404,59,Escalated,,False,True
ENQ-0092,304,19,Resolved,,True,False
ENQ-0103,176,14,Resolved,,False,False
ENQ-0145,64,15,Resolved,4.1,False,False
ENQ-0147,196,14,Resolved,,False,False
ENQ-0179,240,40,Escalated,,False,False
ENQ-0186,489,24,Escalated,,False,False
ENQ-0188,89,34,Resolved,,False,False
ENQ-0203,211,25,Resolved,4.0,False,True
ENQ-0229,145,17,Resolved,,False,False
ENQ-0294,304,10,Resolved,5.0,False,True
ENQ-0307,233,40,Resolved,4.3,False,True
ENQ-0379,649,13,Resolved,,False,True
ENQ-0417,149,4,Resolved,,False,False
ENQ-0488,347,33,Resolved,3.2,False,False
ENQ-0538,352,7,Resolved,4.7,False,True
ENQ-0546,19,5,Resolved,,False,False
ENQ-0553,103,25,Resolved,3.6,False,False
ENQ-0592,1012,13,Resolved,,False,True
ENQ-0653,160,12,Escalated,3.9,False,True
ENQ-0664,93,15,Escalated,,False,False
ENQ-0678,146,24,Resolved,,False,False
ENQ-0787,629,12,Resolved,2.5,False,True
ENQ-0803,589,33,Resolved,,True,True
ENQ-0841,207,22,Resolved,,False,False
ENQ-0013,412,17,Escalated,3.0,False,False
ENQ-0071,200,10,Resolved,,False,False
ENQ-0080,157,11,Resolved,4.2,True,True
ENQ-0102,550,27,Resolved,2.1,False,False
ENQ-0146,831,20,Resolved,4.0,False,False
ENQ-0165,56,37,Escalated,,False,False
ENQ-0181,135,24,Resolved,3.4,False,False
ENQ-0217,186,9,Escalated,,False,True
ENQ-0225,285,11,Resolved,,False,False
ENQ-0265,168,35,Resolved,4.2,False,False
ENQ-0324,180,28,Resolved,3.7,False,False
ENQ-0368,208,3,Resolved,4.9,False,False
ENQ-0420,92,23,Resolved,,False,False
ENQ-0492,34,14,Resolved,,False,False
ENQ-0552,219,26,Resolved,,False,False
ENQ-0559,166,36,Escalated,,False,True
ENQ-0574,357,23,Resolved,,False,False
ENQ-0578,160,25,Escalated,,False,False
ENQ-0600,83,18,Resolved,,False,True
ENQ-0610,252,17,Resolved,3.8,False,True
ENQ-0672,170,11,Resolved,3.7,False,False
ENQ-0673,78,16,Resolved,,False,False
ENQ-0675,125,9,Resolved,2.3,False,True
ENQ-0701,336,24,Escalated,3.6,False,False
ENQ-0711,54,13,Resolved,5.0,False,False
ENQ-0717,328,3,Resolved,,False,False
ENQ-0741,149,21,Resolved,,False,True
ENQ-0745,303,39,Resolved,,False,False
ENQ-0784,126,45,Resolved,,False,False
ENQ-0791,46,11,Resolved,,False,False
ENQ-0801,243,4,Resolved,,False,False
ENQ-0805,396,27,Resolved,2.2,False,False
ENQ-0818,168,17,Resolved,,False,False
ENQ-0828,383,23,Resolved,3.9,False,True
ENQ-0829,47,9,Escalated,,False,False
ENQ-0009,243,8,Resolved,,False,False
ENQ-0206,504,14,Escalated,2.6,False,False
ENQ-0250,266,17,Escalated,3.7,False,False
ENQ-0278,186,12,Resolved,4.0,False,False
ENQ-0314,181,9,Resolved,3.7,False,False
ENQ-0422,86,45,Escalated,4.5,False,True
ENQ-0468,682,24,Resolved,2.8,False,False
ENQ-0515,642,34,Escalated,,False,True
ENQ-0525,1197,18,Resolved,,False,False
ENQ-0535,132,11,Resolved,,False,False
ENQ-0557,334,57,Resolved,,False,False
ENQ-0563,52,18,Resolved,,False,False
ENQ-0608,272,19,Resolved,4.3,False,False
ENQ-0690,168,12,Resolved,,False,False
ENQ-0724,82,23,Resolved,5.0,False,False
ENQ-0725,544,10,Resolved,3.2,False,True
ENQ-0790,83,11,Resolved,,False,False
ENQ-0832,227,9,Resolved,,True,True
ENQ-0891,96,23,Resolved,,False,False
ENQ-0014,191,16,Resolved,,False,True
ENQ-0038,548,9,Resolved,,False,False
ENQ-0044,95,24,Resolved,,False,False
ENQ-0059,21,22,Resolved,,False,False
ENQ-0106,227,32,Resolved,2.6,False,False
ENQ-0107,1073,65,Escalated,,False,False
ENQ-0123,77,9,Resolved,,False,False
ENQ-0130,158,13,Resolved,,False,False
ENQ-0150,83,25,Resolved,,False,True
ENQ-0173,253,16,Resolved,,False,True
ENQ-0260,333,21,Resolved,,False,False
ENQ-0264,55,10,Resolved,4.6,False,False
ENQ-0281,211,41,Escalated,1.6,False,False
ENQ-0288,54,19,Escalated,4.0,False,False
ENQ-0335,315,21,Resolved,,False,False
ENQ-0344,332,16,Resolved,,False,False
ENQ-0348,110,18,Escalated,4.1,False,False
ENQ-0360,593,8,Escalated,,False,False
ENQ-0383,41,10,Resolved,,False,False
ENQ-0430,86,16,Resolved,,False,False
ENQ-0451,553,9,Resolved,4.2,False,True
ENQ-0455,131,19,Resolved,,False,True
ENQ-0521,98,21,Escalated,,False,True
ENQ-0533,267,13,Resolved,,False,False
ENQ-0549,113,24,Resolved,,False,True
ENQ-0575,254,56,Escalated,,False,True
ENQ-0597,304,17,Resolved,2.1,False,True
ENQ-0611,87,9,Resolved,4.1,False,False
ENQ-0623,294,14,Resolved,,False,False
ENQ-0631,311,12,Resolved,5.0,False,False
ENQ-0696,199,15,Resolved,2.0,True,False
ENQ-0700,56,11,Resolved,,False,False
ENQ-0737,208,9,Resolved,,False,True
ENQ-0783,193,25,Escalated,,False,False
ENQ-0799,610,16,Resolved,,False,False
ENQ-0819,306,5,Resolved,,False,False
ENQ-0824,374,13,Resolved,4.3,False,False
ENQ-0055,75,20,Resolved,,False,False
ENQ-0086,175,21,Resolved,,False,False
ENQ-0099,175,17,Resolved,,False,False
ENQ-0101,760,7,Resolved,,False,False
ENQ-0142,201,61,Escalated,,False,True
ENQ-0153,63,28,Resolved,,False,False
ENQ-0164,679,15,Resolved,1.0,False,False
ENQ-0196,58,12,Resolved,3.7,False,False
ENQ-0199,24,19,Escalated,,False,False
ENQ-0220,683,15,Resolved,,False,False
ENQ-0226,91,15,Resolved,,False,False
ENQ-0240,55,23,Resolved,4.2,False,True
ENQ-0252,178,17,Resolved,3.5,False,False
ENQ-0274,193,18,Escalated,,False,False
ENQ-0286,83,11,Resolved,4.1,False,False
ENQ-0318,661,13,Resolved,,False,False
ENQ-0372,746,11,Resolved,1.7,False,False
ENQ-0374,500,11,Resolved,,False,True
ENQ-0410,469,31,Resolved,,False,False
ENQ-0425,505,18,Resolved,,False,True
ENQ-0439,177,24,Resolved,,False,False
